DATA, Infectados  , Recuperados , Mortos 
18/05/2020,1189,1002,31
19/05/2020,1249,1061,33
21/05/2020,1316,1090,36
25/05/2020,1444,1127,42
26/05/2020,1534,1211,43
27/05/2020,1570,1237,43
28/05/2020,1674,1333,46
01/06/2020,1882,1381,49
02/06/2020,1912,1403,51
03/06/2020,2129,1589,51
04/06/2020,2144,1615,55
05/06/2020,2304,1786,57
08/06/2020,2514,1958,59
09/06/2020,2549,1942,62
10/06/2020,2832,2183,62
12/06/2020,3094,2428,66
15/06/2020,3487,2812,67
16/06/2020,3489,2770,77
17/06/2020,3548,2844,82
19/06/2020,3879,3324,90
22/06/2020,4428,3595,96
23/06/2020,4667,3804,96
24/06/2020,4772,3799,104
25/06/2020,4977,3910,118
26/06/2020,5195,4027,121
29/06/2020,5510,4287,129
30/06/2020,5915,4472,136
01/07/2020,6571,4878,144
02/07/2020,7144,4848,158
03/07/2020,7561,4934,169
06/07/2020,8273,5972,177
07/07/2020,8744,629,190
08/07/2020,9361,6713,201
09/07/2020,9978,6922,224
10/07/2020,10618,7522,248
14/07/2020,12123,8863,288
15/07/2020,12231,8863,297
16/07/2020,13559,9999,320
17/07/2020,13700,10308,329
20/07/2020,14001,10795,343
21/07/2020,14089,11003,378
22/07/2020,15051,13266,399
23/07/2020,16100,14255,417
27/07/2020,18197,14449,458
28/07/2020,18415,14718,482
29/07/2020,19112,15441,482
30/07/2020,20276,16334,498
31/07/2020,20594,16608,528
03/08/2020,21072,17549,552
04/08/2020,22411,18511,605
05/08/2020,22676,18905,615
06/08/2020,24115,20035,637
07/08/2020,24436,20450,652
10/08/2020,24536,21850,671
11/08/2020,26440,22490,724
12/08/2020,26886,22940,741
13/08/2020,27485,23542,758
14/08/2020,27953,23989,808
17/08/2020,28649,24778,813
18/08/2020,29273,25406,839
19/08/2020,29690,25776,855
20/08/2020,30305,26396,873
21/08/2020,30841,26674,876
24/08/2020,31461,27534,883
25/08/2020,31840,27959,892
26/08/2020,32303,28367,913
27/08/2020,32721,28726,944
28/08/2020,33092,29069,968
31/08/2020,33675,29853,979
01/09/2020,34121,30334,1004
02/09/2020,34530,30738,1021
03/09/2020,34962,31155,1044
04/09/2020,35319,31574,1057
08/09/2020,35983,32318,1072
09/09/2020,36351,32718,1079
10/09/2020,36848,33180,1096
11/09/2020,37123,33445,1104
14/09/2020,37801,34059,1121
15/09/2020,38166,34378,1136
16/09/2020,38629,34810,1146
17/09/2020,38978,35113,1152
18/09/2020,39321,35441,1160
21/09/2020,39379,35827,1168
22/09/2020,39467,36025,1172
23/09/2020,39538,36207,1192
24/09/2020,41091,37185,1200
25/09/2020,41334,37436,1220
28/09/2020,41743,37978,1232
29/09/2020,42236,38374,1242
30/09/2020,42398,38552,1256
01/10/2020,42659,38790,1272
02/10/2020,42875,39022,1277
05/10/2020,43304,39532,1288
06/10/2020,43543,39810,1300
07/10/2020,43805,40108,1321
08/10/2020,44127,40404,1331
09/10/2020,44354,40656,1341
13/10/2020,44856,41378,1360
14/10/2020,45120,41691,1372
15/10/2020,45437,42034,1392
16/10/2020,45720,42386,1398
19/10/2020,46171,42846,1404
20/10/2020,46482,43154,1414
21/10/2020,46707,43336,1426
22/10/2020,46900,43542,1433
23/10/2020,47137,43830,1446
26/10/2020,47511,44225,1450
27/10/2020,47755,44448,1465
29/10/2020,48123,44822,1474
30/10/2020,48339,44980,1484
03/11/2020,48707,45367,1494
04/11/2020,48890,45570,1505
05/11/2020,49038,45745,1521
06/11/2020,49286,45916,1526
09/11/2020,49672,46205,1528
10/11/2020,49863,46378,1530
11/11/2020,50106,46575,1533
12/11/2020,50403,46770,1551
13/11/2020,50587,46907,1558
16/11/2020,51194,47349,1566
17/11/2020,51494,47571,1580
18/11/2020,51802,47826,1590
19/11/2020,52081,48044,1597
20/11/2020,52352,48286,1610
23/11/2020,52870,48730,1614
24/11/2020,53115,48994,1622
25/11/2020,53337,49206,1625
26/11/2020,53625,49441,1635
27/11/2020,53625,49441,1644
30/11/2020,54413,50200,1650
01/12/2020,54754,50524,1662
02/12/2020,55039,50845,1668
03/12/2020,55039,50845,1675
04/12/2020,55170,51373,1685
07/12/2020,56106,52024,1698
09/12/2020,56106,52024,1703
10/12/2020,56948,52903,1723
11/12/2020,57330,53187,1736
14/12/2020,57729,53733,1741
15/12/2020,58000,54006,1753
16/12/2020,58411,54298,1761
17/12/2020,58787,54551,1773
18/12/2020,59141,54764,1781
21/12/2020,59804,55351,1789
22/12/2020,60267,55655,1801
23/12/2020,60637,55915,1825
24/12/2020,60637,55915,1834
28/12/2020,61825,57127,1839
29/12/2020,62286,57540,1846
30/12/2020,62890,57922,1858
31/12/2020,63387,58228,1877
