DATA, Infectados  , Recuperados , Mortos 
20/05/2020,9,2,0
21/05/2020,9,4,0
22/05/2020,9,6,0
23/05/2020,9,7,0
24/05/2020,9,7,0
25/05/2020,9,9,0
26/05/2020,13,9,0
27/05/2020,13,9,0
28/05/2020,13,9,0
29/05/2020,13,9,0
30/05/2020,14,9,0
31/05/2020,14,9,0
01/06/2020,14,9,0
02/06/2020,15,9,0
03/06/2020,16,9,0
04/06/2020,19,11,0
05/06/2020,20,11,0
06/06/2020,21,11,0
07/06/2020,21,11,0
08/06/2020,23,11,0
09/06/2020,24,13,0
10/06/2020,25,13,0
11/06/2020,25,13,0
12/06/2020,26,13,0
13/06/2020,27,14,0
14/06/2020,27,14,0
15/06/2020,28,22,0
16/06/2020,34,22,0
17/06/2020,36,22,0
18/06/2020,40,28,0
19/06/2020,41,28,0
20/06/2020,42,28,0
21/06/2020,43,28,0
22/06/2020,44,28,0
23/06/2020,48,38,0
24/06/2020,50,38,0
26/06/2020,63,41,0
27/06/2020,64,46,0
26/06/2020,65,46,0
29/06/2020,68,54,0
30/06/2020,72,54,0
01/07/2020,73,54,0
02/07/2020,78,54,0
03/07/2020,78,54,0
04/07/2020,78,54,1
05/07/2020,78,54,1
06/07/2020,78,66,1
07/07/2020,79,66,1
08/07/2020,81,66,1
09/07/2020,83,71,1
10/07/2020,84,71,1
11/07/2020,87,71,1
12/07/2020,87,71,1
13/07/2020,89,74,1
14/07/2020,94,74,1
15/07/2020,98,74,1
16/07/2020,105,79,2
21/07/2020,138,90,2
22/07/2020,145,91,3
23/07/2020,149,91,3
24/07/2020,156,91,3
25/07/2020,158,91,3
26/07/2020,158,91,3
27/07/2020,159,110,3
28/07/2020,167,110,3
29/07/2020,169,130,3
30/07/2020,172,130,3
31/07/2020,191,130,3
01/08/202,194,130,3
02/08/2020,194,130,3
03/08/2020,196,146,3
04/08/2020,204,161,3
05/08/2020,210,161,3
06/08/2020,214,161,3
07/08/2020,216,161,3
08/08/2020,223,161,4
09/08/2020,223,161,4
10/08/2020,226,161,4
11/08/2020,233,185,4
12/08/2020,238,185,4
13/08/2020,245,185,4
14/08/2020,257,186,4
15/08/2020,260,186,4
16/08/2020,260,186,4
