DATA,Infectados ,Recuperados,Mortos
8/6/2020,68,22,1
9/6/2020,68,22,1
10/6/2020,81,24,1
11/6/2020,87,24,1
12/6/2020,88,24,1
13/6/2020,89,24,1
14/6/2020,92,24,1
15/6/2020,96,33,1
16/6/2020,134,33,1
17/6/2020,135,33,3
18/6/2020,142,36,3
19/6/2020,146,36,4
20/6/2020,158,36,4
21/6/2020,159,36,5
22/6/2020,164,36,5
23/6/2020,172,48,5
24/6/2020,178,50,5
25/6/2020,191,50,5
26/6/2020,195,74,6
27/6/2020,204,74,6
28/6/2020,205,74,6
29/6/2020,210,74,6
30/6/2020,219,75,6
1/7/2020,229,76,6
2/7/2020,242,76,6
3/7/2020,248,77,6
4/7/2020,254,77,6
5/7/2020,255,78,7
6/7/2020,260,79,7
7/7/2020,269,81,7
8/7/2020,276,85,7
9/7/2020,281,90,7
10/7/2020,291,90,7
11/7/2020,294,90,7
12/7/2020,300,90,7
13/7/2020,301,90,8
14/7/2020,311,216,8
15/7/2020,327,224,8
16/7/2020,334,225,8
17/7/2020,344,227,9
18/7/2020,353,227,9
19/7/2020,355,227,9
20/7/2020,356,235,9
21/7/2020,361,257,9
22/7/2020,371,262,9
23/7/2020,387,274,9
24/7/2020,386,296,10
25/7/2020,388,296,10
26/7/2020,392,296,10
27/7/2020,398,301,10
28/7/2020,400,305,10
29/7/2020,403,319,11
30/7/2020,409,328,11
31/7/2020,415,332,11
1/8/2020,420,340,11
2/8/2020,422,340,11
3/8/2020,423,343,11
4/8/2020,429,347,11
5/8/2020,434,352,11
6/8/2020,437,359,11
7/8/2020,440,363,11
8/8/2020,442,364,11
9/8/2020,443,364,13
10/8/2020,448,371,13
11/8/2020,449,375,13
12/8/2020,450,379,13
13/8/2020,454,383,13
14/8/2020,457,386,13
15/8/2020,466,389,13
16/8/2020,467,389,13
17/8/2020,469,391,13
18/8/2020,476,392,13
19/8/2020,481,396,13
20/8/2020,485,396,13
21/8/2020,488,401,13
22/8/2020,492,401,13
23/8/2020,495,401,13
24/8/2020,500,409,13
25/8/2020,502,412,13
26/8/2020,505,416,13
27/8/2020,508,422,13
28/8/2020,513,435,13
29/8/2020,519,435,13
30/8/2020,522,435,13
31/8/2020,526,437,13
1/9/2020,528,442,14
2/9/2020,533,449,14
3/9/2020,537,453,14
4/9/2020,540,466,14
5/9/2020,545,466,14
6/9/2020,550,466,14
7/9/2020,551,466,14
8/9/2020,554,471,15
9/9/2020,561,473,15
10/9/2020,570,490,15
11/9/2020,577,490,15
12/9/2020,587,490,15
13/9/2020,590,490,16
14/9/2020,591,497,16
15/9/2020,597,502,16
16/9/2020,604,508,16
17/9/2020,615,513,16
18/9/2020,618,513,16
19/9/2020,626,513,17
20/9/2020,649,513,17
21/9/2020,658,533,18
22/9/2020,665,540,18
23/9/2020,673,540,18
24/9/2020,678,548,18
25/9/2020,694,549,18
26/9/2020,698,552,18
27/9/2020,701,552,18
28/9/2020,713,568,18
29/9/2020,721,576,18
30/9/2020,726,580,18
1/10/2020,736,593,19
2/10/2020,738,622,19
3/10/2020,742,623,20
4/10/2020,746,623,20
5/10/2020,748,644,20
6/10/2020,754,654,20
7/10/2020,761,665,20
8/10/2020,764,674,21
9/10/2020,768,678,21
10/10/2020,769,678,21
11/10/2020,774,678,21
12/10/2020,778,678,21
13/10/2020,779,695,21
14/10/2020,781,698,21
15/10/2020,790,701,21
16/10/2020,793,703,21
17/10/2020,796,709,21
18/10/2020,801,709,21
19/10/2020,802,721,21
20/10/2020,806,724,21
21/10/2020,807,724,21
22/10/2020,809,730,21
23/10/2020,815,735,21
24/10/2020,815,735,21
25/10/2020,817,735,21
26/10/2020,818,746,21
27/10/2020,819,750,21
28/10/2020,822,756,21
29/10/2020,827,759,21
30/10/2020,829,763,21
31/10/2020,831,763,21
1/11/2020,833,763,21
2/11/2020,835,766,21
3/11/2020,837,767,21
4/11/2020,841,773,21
5/11/2020,842,777,21
6/11/2020,844,785,21
7/11/2020,845,793,21
8/11/2020,848,801,21
9/11/2020,849,809,21
10/11/2020,850,809,21
11/11/2020,853,813,21
12/11/2020,865,813,21
13/11/2020,872,815,21
14/11/2020,878,815,21
15/11/2020,886,815,21
16/11/2020,894,815,21
17/11/2020,901,824,21
18/11/2020,911,834,21
19/11/2020,941,835,21
20/11/2020,957,835,21
21/11/2020,966,836,21
22/11/2020,981,837,21
23/11/2020,990,843,21
24/11/2020,1019,852,21
25/11/2020,1034,868,21
26/11/2020,1044,871,21
27/11/2020,1090,879,21
28/11/2020,1105,880,21
29/11/2020,1116,886,21
30/11/2020,1161,903,21
1/12/2020,1178,923,22
2/12/2020,1206,944,22
3/12/2020,1226,969,22
4/12/2020,1256,995,22
5/12/2020,1267,1008,22
6/12/2020,1296,1037,22
7/12/2020,1311,1064,23
8/12/2020,1331,1090,23
9/12/2020,1351,1105,23
10/12/2020,1398,1124,23
11/12/2020,1448,1137,25
12/12/2020,1455,1139,25
13/12/2020,1466,1139,25
14/12/2020,1493,1160,28
15/12/2020,1539,1160,29
16/12/2020,1573,1160,29
17/12/2020,1600,1160,31
18/12/2020,1643,1188,31
19/12/2020,1662,1208,33
20/12/2020,1683,1238,33
21/12/2020,1707,1249,35
22/12/2020,1741,1278,35
23/12/2020,1812,1293,35
24/12/2020,1829,1313,35
25/12/2020,1870,1333,35
26/12/2020,1898,1379,35
27/12/2020,1913,1386,39
28/12/2020,1941,1436,39
29/12/2020,2002,1447,40
30/12/2020,2028,1472,40
31/12/2020,2041,1518,42
