DATA, Infectados  , Recuperados , Mortos 
13/05/2020,14,7,1
14/05/2020,14,7,1
15/05/2020,14,7,1
16/05/2020,14,7,1
18/05/2020,14,12,1
19/05/2020,15,12,1
20/05/2020,16,12,1
22/05/2020,18,13,1
23/05/2020,20,15,1
25/05/2020,21,16,1
26/05/2020,24,16,1
27/05/2020,26,18,1
28/05/2020,26,19,1
02/06/2020,33,24,1
03/06/2020,35,24,1
04/06/2020,36,24,1
05/06/2020,36,25,1
08/06/2020,39,25,1
09/06/2020,45,33,1
10/06/2020,47,33,1
12/06/2020,64,34,2
15/06/2020,79,36,2
16/06/2020,86,46,2
17/06/2020,92,56,2
18/06/2020,99,56,2
19/06/2020,111,63,2
20/06/2020,117,63,2
22/06/2020,126,84,2
23/06/2020,137,84,2
24/06/2020,145,96,2
25/06/2020,167,106,2
26/06/2020,187,110,3
27/06/2020,196,113,4
29/06/2020,206,133,4
30/06/2020,228,149,4
01/07/2020,246,150,4
02/07/2020,262,163,4
03/07/2020,284,170,4
04/07/2020,296,190,5
06/07/2020,319,224,7
07/07/2020,326,240,7
08/07/2020,344,268,7
09/07/2020,355,286,7
10/07/2020,372,289,7
11/07/2020,386,303,7
13/07/2020,393,327,8
14/07/2020,427,349,8
15/07/2020,458,368,8
16/07/2020,490,370,8
17/07/2020,511,403,8
18/07/2020,525,407,8
20/07/2020,551,410,9
21/07/2020,584,464,9
22/07/2020,606,505,9
23/07/2020,631,512,9
24/07/2020,650,531,9
25/07/2020,685,551,10
27/07/2020,713,583,13
28/07/2020,750,602,13
29/07/2020,786,627,13
30/07/2020,838,651,13
31/07/2020,859,669,13
01/08/2020,897,717,13
03/08/2020,937,727,16
04/08/2020,974,783,16
05/08/2020,1001,793,17
06/08/2020,1030,844,17
07/08/2020,1069,865,18
08/08/2020,1103,909,18
10/08/2020,1133,962,19
11/08/2020,1164,993,20
12/08/2020,1190,1017,21
13/08/2020,1217,1055,21
14/08/2020,1249,1080,22
15/08/2020,1292,1158,22
17/08/2020,1332,1192,23
18/08/2020,1356,1239,23
19/08/2020,1376,1266,23
20/08/2020,1403,1288,23
21/08/2020,1423,1318,23
22/08/2020,1460,1339,24
24/08/2020,1483,1390,26
25/08/2020,1531,1406,26
26/08/2020,1581,1453,26
27/08/2020,1608,1486,26
28/08/2020,1644,1524,29
29/08/2020,1686,1551,30
31/08/2020,1726,1616,32
01/09/2020,1766,1626,33
02/09/2020,1830,1664,34
03/09/2020,1866,1713,34
08/09/2020,1988,1848,37
09/09/2020,2035,1883,37
10/09/2020,2063,1931,37
11/09/2020,2104,1977,37
12/09/2020,2148,1997,38
14/09/2020,2180,2058,40
15/09/2020,2226,2099,40
16/09/2020,2249,2127,40
17/09/2020,2284,2149,41
18/09/2020,2319,2176,41
19/09/2020,2361,2213,42
21/09/2020,2388,2260,43
22/09/2020,2432,2295,45
23/09/2020,2462,2319,45
24/09/2020,2502,2344,45
25/09/2020,2540,2381,46
26/09/2020,2590,2427,46
28/09/2020,2609,2472,47
29/09/2020,2667,2513,47
30/09/2020,2708,2562,47
01/10/2020,2740,2589,49
02/10/2020,2767,2619,49
03/10/2020,2798,2644,49
05/10/2020,2820,2686,51
06/10/2020,2849,2716,52
07/10/2020,2867,2742,53
08/10/2020,2891,2762,53
09/10/2020,2913,2782,55
10/10/2020,2929,2794,56
13/10/2020,2940,2835,56
14/10/2020,2961,2851,56
15/10/2020,2983,2869,57
16/10/2020,2994,2904,57
17/10/2020,3013,2917,58
19/10/2020,3027,2936,58
20/10/2020,3039,2949,60
21/10/2020,3055,2959,61
22/10/2020,3070,2968,61
23/10/2020,3093,2976,61
24/10/2020,3119,2990,61
26/10/2020,3128,3029,61
27/10/2020,3146,3043,61
28/10/2020,3158,3052,61
29/10/2020,3170,3062,61
03/11/2020,3206,3106,61
04/11/2020,3223,3114,61
05/11/2020,3237,3134,61
06/11/2020,3252,3149,61
09/11/2020,3278,3186,61
10/11/2020,3290,3189,61
11/11/2020,3317,3204,61
12/11/2020,3331,3214,61
13/11/2020,3357,3230,61
16/11/2020,3406,3262,63
17/11/2020,3436,3277,63
18/11/2020,3466,3299,63
19/11/2020,3485,3317,63
20/11/2020,3524,3344,63
23/11/2020,3592,3409,63
24/11/2020,3625,3439,63
25/11/2020,3655,3463,63
26/11/2020,3701,3500,63
27/11/2020,3778,3532,63
30/11/2020,3864,3629,63
01/12/2020,3940,3713,63
02/12/2020,3973,3785,63
03/12/2020,4041,3800,63
04/12/2020,4084,3860,64
09/12/2020,4357,4147,68
10/12/2020,4409,4233,68
11/12/2020,4459,4261,68
14/12/2020,4576,4364,71
15/12/2020,4626,4431,74
16/12/2020,4748,4478,74
17/12/2020,4874,4583,74
18/12/2020,5033,4753,74
21/12/2020,5280,4979,78
22/12/2020,5469,5152,79
23/12/2020,5547,5279,82
28/12/2020,5974,5655,85
29/12/2020,6096,5782,86
30/12/2020,6198,5830,88
