Data Onda Rt_com_atraso Rt_sem_atraso
26/05 1 2.87995235917232 2.44201823304334
27/05 1 2.46398528619649 1.99641269496522
28/05 1 2.17614799867508 1.72784747230012
01/06 1 1.90195103709607 1.56980291921819
02/06 1 1.69605506531864 1.47666098565643
03/06 1 1.56544109798022 1.42137071623556
04/06 1 1.49681872516844 1.38842289483651
05/06 1 1.40606133516333 1.3691831669168
08/06 1 1.33867476911043 1.35910940223382
09/06 1 1.27997123423694 1.35604357198339
10/06 1 1.25228042371714 1.35895679309078
12/06 3 1.23291495426675 1.36752205715869
15/06 3 1.16467155709844 1.38201202401003
16/06 3 1.16664470714663 1.40270535870474
17/06 3 1.1717928544722 1.42973626859437
19/06 3 1.20279976068347 1.46300697395735
22/06 3 1.24776528715236 1.5014123973405
23/06 3 1.29807404989862 1.54354222454229
24/06 3 1.34830956080664 1.58795780016703
25/06 3 1.45922649565465 1.63091317391554
26/06 3 1.53367498963404 1.66663400761965
29/06 3 1.67565543146777 1.68877164827861
30/06 3 1.79851632887997 1.69253523901259
01/07 2 1.78989380801908 1.67305806408052
02/07 2 2.50205338129509 1.62421344861267
03/07 2 2.32859930767262 1.54208739425096
06/07 2 2.07086826053468 1.43757818636089
07/07 2 1.79732340291904 1.32900560465848
08/07 2 1.56953161496387 1.22539617068351
09/07 2 1.40494784867929 1.13059999473673
10/07 2 1.32334506762911 1.04803515417057
14/07 2 0.987610517743594 0.982091921611433
15/07 2 0.950458950413706 0.938321014312005
16/07 2 0.924005777334498 0.91628758286473
17/07 2 0.863480333177908 0.910385579472327
20/07 2 0.807849639959908 0.918814204324775
21/07 2 0.839360327407329 0.939870786853803
22/07 3 0.869120583868815 0.968273572356596
23/07 3 0.909372765521147 0.99900327837987
27/07 3 0.969588156880957 1.02797499918623
28/07 3 1.03223101929209 1.05107165997589
29/07 3 1.12911922148663 1.06530218990498
30/07 3 1.22620372049107 1.06896457328295
31/07 3 1.19506839091291 1.06214729870938
03/08 3 1.16382641955729 1.04829480570189
04/08 3 1.12479296128414 1.03120775205228
05/08 3 1.01890653827471 1.01442485743846
06/08 3 0.981879203028977 1.00126149525006
07/08 3 0.98075653483222 0.992697139141873
10/08 3 0.975814127396879 0.987470740653455
11/08 3 0.980323371841809 0.98457065554558
12/08 3 0.967919655238024 0.983595980526914
13/08 3 0.958652908250961 0.983989823133179
14/08 3 1.0125211849561 0.984576641127439
17/08 3 1.01059914208988 0.983984892337741
18/08 3 1.01690714153793 0.981478087826011
19/08 3 1.00845318105797 0.977472042680787
20/08 3 0.997473127242876 0.972424871160962
21/08 3 0.993394020016004 0.966772378444791
24/08 3 0.993928602283808 0.960771702401411
25/08 3 0.994704395929767 0.954491336193695
26/08 3 0.987154707239825 0.948155142037124
27/08 3 0.964962740372913 0.942400290244778
28/08 3 0.954593045354654 0.937951823734467
31/08 3 0.949233634325652 0.93519053590851
01/09 3 0.941593794518163 0.934143594937503
02/09 3 0.929702838294612 0.934928598611314
03/09 2 0.916801744927031 0.937669593202102
04/09 2 0.916599615547877 0.94226994970092
08/09 2 0.921534040581059 0.948231622287569
09/09 2 0.930507597884114 0.954880214547078
10/09 2 0.941084292610672 0.961567993893386
11/09 2 0.955209366423385 0.96779290531157
14/09 2 0.974490489927659 0.973112640062941
15/09 2 0.993716833305203 0.977074035053768
16/09 2 0.99040089197142 0.979634882611109
17/09 2 0.977046334056484 0.981289268276076
18/09 2 0.952734292800878 0.982824143270594
21/09 2 0.959246870178229 0.984464307089375
22/09 2 0.966689779585289 0.985762016572333
23/09 2 0.96543100249439 0.986087612116932
24/09 2 0.967692973199165 0.985194197388948
25/09 2 0.98637381539762 0.982766429277144
28/09 2 1.01144997828943 0.978147020045252
29/09 2 1.04048588977828 0.970688634172812
30/09 2 1.02738507330492 0.960574011801993
01/10 1 1.00787391125325 0.948773745782298
02/10 1 0.992527234163632 0.936525279976477
05/10 1 0.976258329755355 0.924729587931075
06/10 1 0.963480986502293 0.914008745117033
07/10 1 0.940228820986093 0.905049056056325
08/10 2 0.91746831996196 0.898480678443878
09/10 2 0.900565380923545 0.894768607968533
13/10 2 0.885968452783306 0.894086032036009
14/10 2 0.876951187472736 0.896389075696545
15/10 2 0.868874767756155 0.901536582853113
16/10 2 0.866265522116552 0.909295011954279
19/10 2 0.878573764705267 0.919207904624881
20/10 2 0.891459943397208 0.930690829914728
21/10 2 0.904649820999344 0.943217293571954
22/10 1 0.920992726614645 0.956400092370559
23/10 1 0.934607814523322 0.969960375758846
26/10 1 0.949127794593378 0.983725916240611
27/10 1 0.956275065513591 0.99763718912794
29/10 2 0.959676339395167 1.01176808548654
30/10 2 0.962499634655479 1.02628585908986
03/11 2 0.971518734245052 1.04118628916038
04/11 2 0.986688286497527 1.05623234233362
05/11 1 1.00302057863829 1.07094718935709
06/11 1 1.01650015937917 1.08479648719527
09/11 1 1.03542076678669 1.09724913834558
10/11 1 1.05643090801153 1.10766826182374
11/11 1 1.08884741079675 1.115260104753
12/11 1 1.11549537788595 1.11930120549681
13/11 1 1.13138633629459 1.11936057192946
16/11 1 1.142992822223 1.11549162896688
17/11 1 1.14709856476816 1.1079924490426
18/11 1 1.14649315309718 1.09730142977819
19/11 1 1.13920928124083 1.08406750085365
20/11 1 1.12150755515013 1.06909885840773
23/11 1 1.10375662943935 1.05331039278567
24/11 1 1.08571151039039 1.03759275542862
25/11 1 1.06962492400347 1.02265032232596
26/11 1 1.0567832616322 1.00907215514597
27/11 1 1.04090743798667 0.997319093400292
30/11 1 1.02936760976998 0.987784401069856
01/12 1 0.997099821626222 0.981013009625606
02/12 1 0.98128044238955 0.977672494326945
03/12 2 0.970264163063832 0.97804216114455
04/12 2 0.958983528381922 0.982041458664957
07/12 2 0.955131234518903 0.989612425542312
09/12 2 0.946994011523843 1.00054125184264
10/12 1 0.93966610088908 1.01450477445102
11/12 1 0.963964050380518 1.03078664708381
14/12 1 0.980074011188761 1.04853869834479
15/12 1 1.00265167860224 1.06621185452653
16/12 1 1.02905889830096 1.08251906944499
17/12 2 1.05463518664674 1.09532688079993
18/12 2 1.08905887917699 1.1047570517303
21/12 2 1.11734268996155 1.11091677598053
22/12 2 1.12974773859151 1.11407280844735
23/12 2 1.13090359913926 1.11434914969954
24/12 2 1.13180138264108 1.11159212081689
28/12 2 1.13637044973072 1.10554407918241
