Data Onda Rt_com_atraso Rt_sem_atraso
29/05 2 1.58613132519401 1.23987267744065
30/05 2 1.5898080361091 1.21308152615887
31/05 2 1.5877529056492 1.19880855177735
01/06 2 1.59510790320685 1.19149694381585
02/06 2 1.62192596147749 1.18782364381014
03/06 2 1.62969455479369 1.18583139444129
04/06 3 1.61723887120864 1.18439325560604
05/06 3 1.64046065128025 1.1828952371741
06/06 3 1.59617934918006 1.18104954121476
07/06 3 1.54343822667028 1.17878093424869
08/06 3 1.47089906936202 1.17614306698629
09/06 3 1.40824178640905 1.17323680789771
10/06 3 1.34229396914055 1.17017873518017
11/06 3 1.29096894564278 1.16714895857665
12/06 2 1.12745134016472 1.1643557957539
13/06 2 1.08247730817146 1.16195676012106
14/06 2 1.07181881748803 1.16001886304069
15/06 2 1.05226891233152 1.15851093422364
16/06 2 1.03963674121993 1.15736184617808
17/06 2 1.04230239349199 1.1564816852342
18/06 2 1.05927652727822 1.15573663262007
19/06 2 1.17317740789638 1.15499181362139
20/06 2 1.13707994415586 1.15417324684636
21/06 2 1.0882725669098 1.15327803946004
22/06 2 1.17322888247761 1.15230517352555
23/06 2 1.20287876452911 1.15117636870686
24/06 2 1.22550406274865 1.14987860546559
26/06 2 1.17276212212973 1.1485740486509
27/06 2 1.14715179204669 1.14746697000428
26/06 2 1.1938314356128 1.1467058701319
29/06 2 1.27062885494762 1.14637491323255
30/06 2 1.24653481717541 1.14657319856615
01/07 1 1.23658307785396 1.14756733112322
02/07 1 1.2125206141073 1.14970380121173
03/07 1 1.13510210215406 1.15333671828658
04/07 1 1.04444584491792 1.15887780627434
05/07 1 0.976772855129978 1.16666395031058
06/07 1 0.868000401849611 1.17688456488182
07/07 1 0.781876052141517 1.18953764834504
08/07 1 0.738778885482425 1.20434592285668
09/07 1 0.707656994368541 1.22070458371136
10/07 1 0.773700691046337 1.23769959396487
11/07 1 0.887657385123527 1.25416620572232
12/07 1 1.02650297300979 1.26887266491876
13/07 1 1.19252922996082 1.28054160764263
14/07 1 1.53324380211911 1.28791553764541
15/07 1 1.8301710491302 1.28981734333224
16/07 3 2.0410389486157 1.28540992655028
21/07 3 2.16640691976537 1.27447061328595
22/07 2 2.1432142345221 1.25742859336716
23/07 2 2.02676607717102 1.23531369047929
24/07 2 1.80565235890651 1.20968982504536
25/07 2 1.56967397741053 1.18252104400866
26/07 2 1.31843952997311 1.15583767515025
27/07 2 1.13784148053359 1.13137260546601
28/07 2 1.05001033776722 1.11013193405221
29/07 1 1.00327108184032 1.09228470865105
30/07 1 0.979964051301543 1.07761089989237
31/07 1 0.980053935160522 1.06578657407729
01/08 1 0.944812438942066 1.05633389715333
02/08 1 0.977948001100808 1.04872613338147
03/08 1 1.01723517326795 1.04231677604703
04/08 1 1.00772323180817 1.03650736679708
05/08 2 1.00043242380115 1.03100816819011
06/08 2 0.990342704166887 1.02557828420516
07/08 2 1.02907080674924 1.01992498903435
