Data Onda Rt_com_atraso Rt_sem_atraso
12/06 2 2.3683623954421 2.32613448581786
13/06 2 2.04410643584994 1.8810902401711
14/06 2 1.81143250836098 1.61311538974926
15/06 2 1.65980354397238 1.45498846082162
16/06 2 1.56134431578954 1.36064090746541
17/06 2 1.51703754383823 1.3026786810979
18/06 2 1.47923089206333 1.26529279827368
19/06 2 1.46634845120931 1.23933546752216
20/06 2 1.37849248617668 1.21962364651577
21/06 2 1.30852302001025 1.20344622453489
22/06 2 1.26599660475536 1.18927199905185
23/06 2 1.20354406579441 1.17629123599857
24/06 2 1.15105867601408 1.16412995429056
25/06 2 1.11255251979731 1.15256940863523
26/06 2 1.08560364849581 1.14140381483335
27/06 2 1.08236166299616 1.13033102103472
28/06 2 1.09074459657749 1.11894277258545
29/06 2 1.10094233474092 1.10689996586389
30/06 2 1.13964937430493 1.09389541046624
01/07 1 1.17041482055203 1.07962109982318
02/07 1 1.19103464347429 1.06385094402597
03/07 1 1.20135129355254 1.04656173444009
04/07 1 1.20320292524384 1.02796708623428
05/07 1 1.19440746316326 1.00845925119131
06/07 1 1.17135784857165 0.988461358533078
07/07 1 1.15423611979243 0.968369086603103
08/07 1 1.13767750369249 0.948587420521214
09/07 1 1.13095971182193 0.929570349518555
10/07 1 1.12374921976989 0.911673822589965
11/07 1 1.01834746576839 0.895333090418421
12/07 1 0.924330450333852 0.881090622027737
13/07 1 0.849152284297592 0.869353456989745
14/07 1 0.787794240867449 0.860362210666379
15/07 1 0.743748553209401 0.854182352889691
16/07 3 0.704459882815011 0.850712952473702
17/07 3 0.662630826783724 0.849777325390562
18/07 3 0.715221311896278 0.850961700781742
19/07 3 0.775806823757111 0.853614073805501
20/07 3 0.837693430040028 0.857168248330551
21/07 3 0.856544986511347 0.86125771758551
22/07 2 0.852297232135011 0.865713557269951
23/07 2 0.840003934640185 0.870506199599078
24/07 2 0.834392845855823 0.875651672511135
25/07 2 0.849535444361161 0.88111587388902
26/07 2 0.842564448100296 0.886834007878946
27/07 2 0.823282618004872 0.892808149222365
28/07 2 0.840688137728631 0.899020580665868
29/07 2 0.852173322849646 0.905413856744365
30/07 2 0.859923256390307 0.911917074101591
31/07 2 0.859822336445393 0.918497283776827
01/08 2 0.863573336475538 0.925143078654972
02/08 2 0.887262223277425 0.931825892595189
03/08 2 0.908900187945936 0.938479197649264
04/08 2 0.922360445944864 0.945059844441728
05/08 2 0.939244019099792 0.951544043185897
06/08 2 0.946528967810463 0.957915647572103
07/08 2 0.950478607039564 0.964177179413548
08/08 2 0.941899812832139 0.970339045163198
09/08 2 0.925810024109468 0.976410662582299
10/08 2 0.918328461195131 0.98238959424291
11/08 2 0.914985255298552 0.988242359963106
12/08 2 0.924325002618782 0.99389826281303
13/08 2 0.939182418372954 0.999256985422343
14/08 2 0.957892624483731 1.00420963362943
15/08 2 0.994660396996654 1.00864215918994
16/08 2 1.0372115008549 1.01243958871405
17/08 2 1.08283592114168 1.01550367994554
18/08 2 1.11480732039507 1.01778963341651
19/08 2 1.13171984792846 1.01931660096259
20/08 2 1.14400876411332 1.02015755322372
21/08 2 1.14365210241336 1.02041086704775
22/08 2 1.12514779658773 1.02023067446218
23/08 2 1.10224117039215 1.01980554301154
24/08 2 1.06823876766809 1.01933258286517
25/08 2 1.02796405135537 1.01901641630425
26/08 2 0.998631687377027 1.01904066112091
27/08 2 0.97702362356564 1.01953557247701
28/08 2 0.97166454082747 1.02056549908136
29/08 2 0.965516378526001 1.02214845941903
30/08 2 0.959938326606762 1.02428701412323
31/08 2 0.961273456162753 1.0269817755218
01/09 2 0.959608829875672 1.03020563879063
02/09 2 0.95622488723367 1.03392130157201
03/09 2 0.956828163690782 1.03808232143981
04/09 2 0.955771197404341 1.04262827251701
05/09 2 0.956867636223218 1.04748998682537
06/09 2 0.972235419675836 1.05256041748944
07/09 2 0.971080331396605 1.05770035414764
08/09 2 1.00337815262289 1.06277333632282
09/09 2 1.04473775682502 1.06757546642245
10/09 1 1.07572328538771 1.07187265364215
11/09 1 1.08427294416342 1.07547462146096
12/09 1 1.09325746721011 1.07825289012109
13/09 1 1.08954555722657 1.08011255260881
14/09 1 1.11159458225224 1.08092691448496
15/09 1 1.12419118635645 1.08049736303915
16/09 1 1.12790725989148 1.0786818415446
17/09 2 1.16687506774415 1.07535253773217
18/09 2 1.1899147448919 1.07038151558929
19/09 2 1.20386211603288 1.06370831369411
20/09 2 1.22161415422429 1.0553227781241
21/09 2 1.21757012254571 1.04530707521436
22/09 2 1.22769320774021 1.03384694520474
23/09 2 1.22486162735531 1.02115717853765
24/09 1 1.19057666537671 1.00753908946019
25/09 1 1.16837738556862 0.993371630226707
26/09 1 1.15015874038054 0.979007915718961
27/09 1 1.12806084279161 0.964792743887933
28/09 1 1.1093503290527 0.951060629816384
29/09 1 1.04409504270594 0.93814719434803
30/09 1 0.987077012231679 0.92644092026483
01/10 2 0.941461232332533 0.916239662843
02/10 2 0.889729125471516 0.907719715319087
03/10 2 0.842679566881348 0.901009409002064
04/10 2 0.79724873982727 0.896158173546746
05/10 2 0.754079388352439 0.893133123959144
06/10 2 0.749949382068781 0.891797635757319
07/10 2 0.750279251290522 0.891883455840102
08/10 2 0.754234297071198 0.89312076910022
09/10 2 0.792142322013445 0.895261017698094
10/10 2 0.81139692621719 0.898017609403965
11/10 2 0.830818805590499 0.901169008808186
12/10 2 0.867632868255615 0.904536416942902
13/10 2 0.902733055720273 0.907969454168759
14/10 2 0.925093569489572 0.911368495442734
15/10 1 0.940511927890842 0.914692419816344
16/10 1 0.919972701543896 0.917967046947541
17/10 1 0.929482256112111 0.921253847915984
18/10 1 0.943689438230961 0.924586070847775
19/10 1 0.937632381700592 0.928001557104034
20/10 1 0.929654440622435 0.931568196514461
21/10 1 0.927157447975489 0.93536825195501
22/10 1 0.918871544503155 0.939479884514967
23/10 1 0.913514487598658 0.943972140490678
24/10 1 0.899999880057798 0.948909755959366
25/10 1 0.877917537027629 0.954376620067809
26/10 1 0.870831416980491 0.960452147791154
27/10 1 0.859062721674637 0.967207797296811
28/10 1 0.853797053178699 0.974713291569241
29/10 1 0.849621095483017 0.983032405061714
30/10 1 0.869589779150498 0.992214528332543
31/10 1 0.901528631698921 1.00228639904454
01/11 1 0.935290171761819 1.01327262719883
02/11 1 0.950235114290914 1.02522571768754
03/11 1 0.946664551724245 1.03824471783715
04/11 1 0.911165289994048 1.0524770655928
05/11 1 0.852915521733927 1.06810669371577
06/11 1 0.778819639776901 1.08530543286966
07/11 1 0.70961423146255 1.10420531308647
08/11 1 0.649058175293546 1.12486759506148
09/11 1 0.644207919969474 1.14717116074308
10/11 1 0.687995656304542 1.17078570741759
11/11 1 0.794157472113657 1.19521196018296
12/11 1 0.967137606311285 1.2198706615104
13/11 1 1.21018678289563 1.24409707112269
14/11 1 1.41151164261168 1.26723023268394
15/11 1 1.55135664288638 1.2887328801034
16/11 1 1.68964502879651 1.30814450347457
17/11 1 1.79887271869193 1.32495782437848
18/11 1 1.84576332127909 1.33862504979513
19/11 1 1.85317185508268 1.34872262271038
20/11 1 1.80361030760751 1.35506296047081
21/11 1 1.7869452221157 1.35756606365832
22/11 1 1.750022457523 1.35620506128948
23/11 1 1.66118788242812 1.35125284822611
24/11 1 1.61180054450402 1.34307637364426
25/11 1 1.5742659285415 1.33201302513297
26/11 1 1.52745056764127 1.31843384947778
27/11 1 1.51283870322665 1.30278528293173
28/11 1 1.46998173238651 1.28566381540587
29/11 1 1.43630487925406 1.26779543813893
30/11 1 1.39354428208252 1.24991182698375
01/12 1 1.32760843598505 1.23280818507044
02/12 1 1.2597479158886 1.21733503646196
03/12 2 1.20241889078163 1.20428026284235
04/12 2 1.13190110892383 1.19429463590788
05/12 2 1.07587580206521 1.18782666919128
06/12 2 1.0331950696731 1.18503564118797
07/12 2 1.0239994855263 1.1856729067843
08/12 2 1.04318948100431 1.1890281139099
09/12 2 1.0707178389677 1.19409542574826
10/12 2 1.10306572892435 1.19982832893245
11/12 2 1.13892217737726 1.20530613502375
12/12 2 1.19663205084358 1.20955405865433
13/12 2 1.25965926622676 1.21155398162243
14/12 2 1.30468540073746 1.21045976892487
15/12 2 1.31988894795746 1.20585355946429
16/12 2 1.31525332801965 1.19805865819097
17/12 3 1.29212757446694 1.18759072483438
18/12 3 1.27084359210854 1.17494997607178
19/12 3 1.23444036600393 1.16083138048265
20/12 3 1.21212071282092 1.14611656927959
21/12 3 1.18436084990769 1.13142906099505
22/12 3 1.16455805264377 1.11728715764174
23/12 3 1.14432750256333 1.1037396546363
24/12 3 1.13310341317673 1.09072756347109
25/12 3 1.11439660239542 1.07867867517016
26/12 3 1.11325729328496 1.06743547523756
27/12 3 1.09693914090173 1.05721419323195
28/12 3 1.07268252817089 1.04838749697737
