Data Onda Rt_com_atraso Rt_sem_atraso
04/06 1 1.60851346917365 1.37001652801962
05/06 1 1.5728941854584 1.38276010795298
08/06 1 1.78147226773328 1.39432099742579
09/06 1 2.12398328025518 1.40380605344499
10/06 1 2.27693919237577 1.41030702265123
12/06 3 2.23843071712526 1.41346477460101
15/06 3 2.14972630490227 1.41328343572785
16/06 3 2.08685136477961 1.40980431837069
17/06 3 2.03269674908246 1.4031567615458
18/06 3 1.79392276174117 1.39364321124689
19/06 3 1.58473523847777 1.38187364466632
20/06 3 1.42508733708697 1.36850663850413
22/06 3 1.38306501066052 1.35375663567016
23/06 3 1.39783397977486 1.33737317565582
24/06 3 1.41839209005742 1.31909144140913
25/06 3 1.37792110626445 1.29895689305881
26/06 3 1.38748157450762 1.27726341091359
27/06 3 1.40804177426476 1.25436368688588
29/06 3 1.43917633239052 1.23052999683691
30/06 3 1.46338931320717 1.20616066175905
01/07 2 1.41579465655842 1.18203261298519
02/07 2 1.32482097454545 1.15925285546042
03/07 2 1.24641212880507 1.1389584730101
04/07 2 1.15726844806454 1.1221894728512
06/07 2 1.04839260591599 1.10974434980169
07/07 2 0.980715221975933 1.10219937272532
08/07 2 0.908297351231423 1.09973326371927
09/07 2 0.837161020704227 1.10220445890615
10/07 2 0.819488790612796 1.10927613066704
11/07 2 0.848954154416463 1.11996385177959
13/07 2 0.958587312135981 1.13263700102525
14/07 2 1.06374803766695 1.14568449686361
15/07 2 1.14844622417143 1.15776521623384
16/07 2 1.24902509414501 1.1679581039133
17/07 2 1.31573578937479 1.1757780580146
18/07 2 1.29965332262863 1.18103513417163
20/07 2 1.27640484943788 1.18417007312382
21/07 2 1.20171116046452 1.18578552484973
22/07 3 1.17520272421583 1.186002736487
23/07 3 1.13494241371521 1.18476006644344
24/07 3 1.0996734642578 1.18181320106055
25/07 3 1.11557205248897 1.17648966961227
27/07 3 1.19774438335519 1.16767799693426
28/07 3 1.25630473853346 1.1541320774907
29/07 3 1.28636752294902 1.13536530327173
30/07 3 1.31255037539522 1.11170093554922
31/07 3 1.30984462891592 1.08376984826661
01/08 3 1.29614414423288 1.05257061255657
03/08 3 1.24582135122368 1.01945632000924
04/08 3 1.18943397207926 0.985974386559811
05/08 3 1.13127789770557 0.953682302153583
06/08 3 1.0741908706115 0.923773943264462
07/08 3 1.00724314738085 0.897199177701474
08/08 3 0.970227517092269 0.874731052218042
10/08 3 0.923216493252615 0.856756172086794
11/08 3 0.908708886529114 0.843427106000115
12/08 2 0.858735648276485 0.83482895906094
13/08 2 0.825395637979678 0.830958497407848
14/08 2 0.797453313277778 0.831703801251384
15/08 2 0.768547304974916 0.83680376873314
17/08 2 0.745914037580842 0.845863612278397
18/08 2 0.725823650971366 0.858454576012752
19/08 2 0.715566527816589 0.87399491771394
20/08 3 0.711056039868596 0.891730870711502
21/08 3 0.737969696040172 0.910772547368126
22/08 3 0.799648363417547 0.930002301838883
24/08 3 0.864588673887668 0.948235243654227
25/08 3 0.909935472712371 0.964553697469531
26/08 3 0.978844657527978 0.978355446862172
27/08 3 0.97311480987349 0.989321751888501
28/08 3 1.04534518202303 0.997330081862587
29/08 3 1.10058667021106 1.0023220779649
31/08 3 1.12173753528311 1.00438821285246
01/09 3 1.11502755931336 1.00400714858248
02/09 3 1.12571019465846 1.00184233790456
03/09 3 1.08451159835704 0.998540884378462
08/09 3 1.07604825681628 0.994721048590975
09/09 3 1.06312258776071 0.990956738667761
10/09 3 0.978181163095725 0.987786693057822
11/09 3 0.923406469544381 0.985777708437212
12/09 3 0.893648571217832 0.985204500642172
14/09 3 0.875171135337333 0.985840880216937
15/09 3 0.903142169992336 0.987122954059424
16/09 3 0.949297144675985 0.988299555722341
17/09 2 0.931156600823834 0.988669446096884
18/09 2 0.961484219276825 0.987801228920338
19/09 2 0.990686796743946 0.985298658046809
21/09 2 1.04769082233979 0.980670708475139
22/09 2 1.08094255011914 0.973570129318477
23/09 2 1.09818449551832 0.964040935396008
24/09 2 1.05942313852682 0.952497092729381
25/09 2 1.07293381306144 0.939437520535213
26/09 2 1.06636273031232 0.925253088793866
28/09 2 1.05736884527353 0.910366097975551
29/09 2 1.02371088045208 0.895333819997107
30/09 2 1.00073522615193 0.880841649372348
01/10 2 0.946635647630503 0.867496151838672
02/10 2 0.933048658139072 0.855760540415495
03/10 2 0.890894142828549 0.846027914852986
05/10 2 0.87080204915869 0.838576585847036
